tick,population,speed,vision,size,hungry,fertility
17152,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17153,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17154,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17155,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17156,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17157,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17158,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17159,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17160,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17161,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17162,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17163,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
17164,113,1.1976739445345113,78.48688139637758,12.136781513864914,32.495934228654356,69.09237242780378
17165,113,1.1976739445345113,78.48688139637758,12.136781513864914,32.495934228654356,69.09237242780378
17166,113,1.1976739445345113,78.48688139637758,12.136781513864914,32.495934228654356,69.09237242780378
17167,114,1.1959764656270615,78.43513390198186,12.141726670153442,32.463683940387874,69.0546794098963
17168,114,1.1959764656270615,78.43513390198186,12.141726670153442,32.463683940387874,69.0546794098963
17169,114,1.1959764656270615,78.43513390198186,12.141726670153442,32.463683940387874,69.0546794098963
17170,114,1.1959764656270615,78.43513390198186,12.141726670153442,32.463683940387874,69.0546794098963
17171,114,1.1959764656270615,78.43513390198186,12.141726670153442,32.463683940387874,69.0546794098963
17172,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17173,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17174,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17175,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17176,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17177,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17178,113,1.1953160975816421,78.45864162745443,12.159946402464346,32.44918908429092,69.13728264643372
17179,114,1.1947929998709481,78.3810977598828,12.16326228217845,32.484748989903416,69.14768232882585
17180,115,1.1947612746142178,78.458336006169,12.150799717010127,32.515437398548336,69.10925773076623
17181,115,1.1947612746142178,78.458336006169,12.150799717010127,32.515437398548336,69.10925773076623
17182,115,1.1947612746142178,78.458336006169,12.150799717010127,32.515437398548336,69.10925773076623
17183,115,1.1947612746142178,78.458336006169,12.150799717010127,32.515437398548336,69.10925773076623
17184,116,1.1945700103477257,78.47482074858775,12.153697088611706,32.54003908976695,69.0384392425713
17185,116,1.1945700103477257,78.47482074858775,12.153697088611706,32.54003908976695,69.0384392425713
17186,116,1.1945700103477257,78.47482074858775,12.153697088611706,32.54003908976695,69.0384392425713
17187,116,1.1945700103477257,78.47482074858775,12.153697088611706,32.54003908976695,69.0384392425713
17188,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17189,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17190,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17191,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17192,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17193,114,1.19415324051262,78.18934403575972,12.13809977725405,32.53069844477634,68.92053604044916
17194,113,1.195129731829175,78.27204039598112,12.136076285648882,32.57531467688536,68.86840882717672
17195,113,1.195129731829175,78.27204039598112,12.136076285648882,32.57531467688536,68.86840882717672
17196,114,1.1939733992749588,78.16175657511201,12.145564374559825,32.510655214406356,68.90165006113858
17197,114,1.193668037805885,78.21404768537471,12.150490035753716,32.54966192822274,68.9804335237608
17198,115,1.1926286157223254,78.23463594460004,12.148668018779238,32.532651646421236,68.97120122713066
17199,115,1.1926286157223254,78.23463594460004,12.148668018779238,32.532651646421236,68.97120122713066
