tick,population,speed,vision,size,hungry,fertility
9036,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9037,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9038,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9039,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9040,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9041,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9042,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9043,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9044,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9045,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9046,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9047,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
9048,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9049,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9050,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9051,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9052,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9053,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9054,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9055,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9056,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9057,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9058,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9059,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9060,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9061,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9062,99,1.018377265,78.14505698,12.50585061,31.22504795,85.06583477
9063,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9064,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9065,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9066,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9067,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9068,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9069,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9070,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9071,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9072,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9073,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9074,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9075,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
